                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9141,                 3.2158,                 1.7067,                0.50319,                0.21262,                0.27219,                0.10382,                  1.699,                 3.4938,                  1.577,             0.00065753,             0.00065753,             0.00065753
                      1,                 1.8871,                 2.4911,                 1.6597,                0.46685,                0.46844,                0.36001,                 0.1533,                 2.0712,                 3.0507,                  2.233,               0.001298,               0.001298,               0.001298
                      2,                 1.9092,                 2.2528,                 1.7169,                0.51697,                 0.4485,                0.38334,                0.16301,                 1.9557,                 4.4641,                 1.9899,               0.001912,               0.001912,               0.001912
                      3,                 1.8756,                  2.016,                 1.7128,                0.57875,                0.49169,                0.49062,                0.19684,                 1.8793,                 2.4399,                 1.8975,              0.0018812,              0.0018812,              0.0018812
                      4,                 1.8566,                 1.9284,                 1.7161,                0.68151,                0.59468,                0.59027,                0.24971,                 1.8822,                 1.7945,                 1.8447,              0.0018812,              0.0018812,              0.0018812
                      5,                  1.813,                 1.8603,                 1.6713,                0.70841,                0.56478,                0.58956,                0.25173,                 1.8071,                 2.8149,                 1.8376,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.8017,                 1.7855,                 1.6718,                0.62409,                0.52824,                0.50719,                0.21181,                 1.8378,                 1.8895,                  1.776,               0.001802,               0.001802,               0.001802
                      7,                 1.7654,                 1.8147,                  1.647,                0.69271,                0.55814,                 0.5535,                0.25187,                 1.8573,                 1.8553,                 1.8087,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.7442,                  1.754,                 1.6542,                0.74825,                0.56478,                0.58786,                0.26683,                 1.7609,                 1.7127,                 1.7982,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.733,                 1.7192,                 1.6435,                 0.7322,                 0.6113,                 0.5982,                0.26588,                 1.7181,                 1.6915,                 1.7189,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6781,                 1.6576,                 1.5942,                0.74967,                0.64672,                0.63383,                0.30818,                 1.6656,                 1.5889,                 1.6655,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6883,                 1.6477,                  1.609,                0.77103,                0.64784,                0.64998,                0.31243,                 1.6469,                 1.5257,                 1.6485,               0.001604,               0.001604,               0.001604
                     12,                 1.6624,                 1.6311,                 1.6004,                0.74864,                0.61794,                0.64208,                0.31375,                  1.598,                  1.561,                 1.6549,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6183,                 1.5667,                 1.5617,                0.75088,                0.66777,                0.65939,                0.30232,                 1.6118,                 1.6062,                 1.6579,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.6367,                 1.5878,                 1.5813,                0.78807,                0.66711,                0.67237,                0.33379,                 1.6432,                 1.4661,                 1.6643,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.6255,                 1.5538,                 1.5771,                0.74318,                0.66445,                0.64381,                0.30722,                 1.6038,                 1.4999,                 1.6035,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.6007,                 1.5229,                 1.5376,                0.77361,                0.66113,                0.65654,                0.32937,                 1.5863,                 1.4353,                 1.5748,               0.001406,               0.001406,               0.001406
                     17,                 1.5949,                 1.4908,                 1.5266,                0.76426,                0.66445,                0.66615,                0.32933,                 1.5925,                 1.4746,                 1.6157,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.5529,                 1.5105,                 1.5064,                0.77189,                0.64452,                0.62074,                0.29164,                 1.6241,                 1.4479,                 1.6409,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.5731,                    1.5,                 1.5048,                0.74241,                 0.6711,                0.67018,                0.33048,                 1.5711,                 1.4437,                 1.6165,              0.0012872,              0.0012872,              0.0012872
